Tournament_ID,Winner_ID,Loser_ID,Score,Winner_Points,Loser_Points
2019-M004,100644,200615,6-3 6-3,6475.0,439.0
2019-0500,100644,104898,6-4 7-5,4360.0,781.0
2019-0414,100644,111797,6-4 6-2,4325.0,1135.0
2019-M015,100644,126207,6-3 6-2,4095.0,1060.0
2021-0337,100644,126207,7-5 6-4,6680.0,1192.0
2021-0422,100644,126094,6-2 6-3,7263.0,6005.0
2021-0605,100644,106421,6-4 6-4,6540.0,7640.0
2021-0807,100644,126774,6-4 7-6(3),5635.0,6765.0
2021-1536,100644,126610,6-7(8) 6-4 6-3,6125.0,3493.0
2019-0495,103819,104259,6-4 3-6 6-1,4100.0,1205.0
2021-M-DC-2021-FLS-A-M-ESP-ECU-01,103852,105933,6-3 6-3,731.0,181.0
2019-M007,103970,105023,6-3 6-2,355.0,770.0
2019-0308,104259,104312,6-2 7-5,1045.0,775.0
2019-M014,104259,105732,6-3 7-6(3),715.0,845.0
2019-0407,104269,105051,7-5 6-4,1455.0,1001.0
2019-M-DC-2019-QLS-M-ITA-IND-01,104312,106368,6-4 6-2,1080.0,425.0
2020-9404,104468,105916,6-0 6-3,1005.0,1047.0
2019-0499,104545,105166,6-3 7-6(4),3225.0,468.0
2020-M004,104545,104999,6-3 7-6(4),1760.0,182.0
2021-6116,104545,126203,7-6(4) 5-7 6-3,1718.0,1560.0
2019-7290,104655,106099,6-2 6-2,782.0,368.0
2019-M-DC-2019-G1-AM-M-DOM-URU-01,104655,105497,7-5 6-0,1058.0,178.0
2019-9164,104665,105449,2-6 6-2 6-1,1012.0,575.0
2019-0311,104731,111815,4-6 7-6(5) 6-4,3565.0,940.0
2021-0315,104731,122330,4-6 7-6(3) 7-5,708.0,1721.0
2019-520,104745,106233,6-3 5-7 6-1 6-1,7945.0,4685.0
2019-560,104745,106421,7-5 6-3 5-7 4-6 6-4,7945.0,4125.0
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,104745,111575,6-3 7-6(7),9985.0,1840.0
2019-M-DC-2019-FLS-M-ARG-ESP-01,104745,106043,6-1 6-2,9985.0,2125.0
2019-M-DC-2019-FLS-M-CAN-ESP-01,104745,133430,6-3 7-6(7),9985.0,2050.0
2019-M-DC-2019-FLS-M-GBR-ESP-01,104745,105554,6-4 6-0,9985.0,1124.0
2020-520,104745,104925,6-0 6-2 7-5,9850.0,11260.0
2021-0416,104745,104925,7-5 1-6 6-3,9630.0,11463.0
2021-0425,104745,126774,6-4 6-7(6) 7-5,9490.0,7860.0
2019-M-DC-2019-QLS-M-SRB-UZB-01,104797,105583,6-3 6-4,542.0,1010.0
2019-M009,104871,104755,6-1 4-6 6-3,1040.0,1105.0
2019-0319,104871,106065,7-6(8) 7-5,805.0,880.0
2019-M010,104898,200005,5-7 7-6(2) 7-6(4),781.0,817.0
2019-M-DC-2019-FLS-E-M-GBR-NED-01,104898,105554,3-6 7-6(5) 6-4,316.0,1124.0
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,104898,122330,7-5 3-6 7-6(5),316.0,919.0
2019-M-DC-2019-QLS-M-CZE-NED-01,104898,104586,6-2 6-4,895.0,399.0
2019-540,104925,103819,7-6(5) 1-6 7-6(4) 4-6 13-12,12415.0,6620.0
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,104925,105332,6-3 6-3,9145.0,1538.0
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,104925,106415,6-1 6-2,9145.0,764.0
2019-M-DC-2019-FLS-M-SRB-RUS-01,104925,111575,6-3 6-3,9145.0,1840.0
2020-580,104925,106233,6-4 4-6 2-6 6-3 6-4,9720.0,5890.0
2021-0352,104925,106421,4-6 6-3 6-3,10340.0,9540.0
