tourney_id,w_ace,w_df,w_svpt,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_SvGms,l_bpSaved,l_bpFaced
2019-0301,176.0,60.0,1727.0,271.0,77.0,101.0,146.0,75.0,1737.0,265.0,113.0,184.0
2019-0308,100.0,36.0,1712.0,265.0,104.0,142.0,76.0,58.0,1713.0,265.0,102.0,194.0
2019-0311,292.0,98.0,2309.0,369.0,89.0,119.0,228.0,93.0,2409.0,367.0,134.0,214.0
2019-0314,72.0,39.0,1480.0,239.0,62.0,92.0,75.0,59.0,1548.0,232.0,91.0,159.0
2019-0315,140.0,69.0,1279.0,203.0,55.0,78.0,71.0,77.0,1300.0,201.0,74.0,128.0
2019-0316,86.0,63.0,1430.0,225.0,77.0,117.0,56.0,59.0,1444.0,220.0,104.0,187.0
2019-0319,107.0,62.0,1843.0,283.0,95.0,139.0,78.0,83.0,1804.0,277.0,89.0,172.0
2019-0321,305.0,95.0,1971.0,321.0,76.0,101.0,199.0,113.0,2051.0,315.0,119.0,187.0
2019-0322,124.0,65.0,1865.0,290.0,91.0,132.0,84.0,65.0,1980.0,291.0,134.0,227.0
2019-0328,274.0,54.0,1898.0,323.0,47.0,70.0,158.0,62.0,1977.0,315.0,110.0,196.0
2019-0329,234.0,53.0,1982.0,330.0,59.0,83.0,155.0,78.0,2043.0,320.0,104.0,192.0
2019-0337,205.0,72.0,2201.0,354.0,92.0,127.0,195.0,90.0,2301.0,349.0,139.0,233.0
2019-0341,205.0,33.0,1552.0,259.0,49.0,66.0,155.0,36.0,1629.0,255.0,83.0,144.0
2019-0352,370.0,84.0,3219.0,529.0,130.0,177.0,298.0,111.0,3206.0,518.0,130.0,255.0
2019-0360,111.0,61.0,1506.0,234.0,85.0,115.0,78.0,64.0,1481.0,232.0,88.0,170.0
2019-0375,192.0,74.0,1734.0,277.0,62.0,84.0,162.0,93.0,1838.0,275.0,95.0,160.0
2019-0407,170.0,49.0,1936.0,313.0,62.0,112.0,107.0,54.0,2081.0,311.0,136.0,239.0
2019-0410,138.0,123.0,3504.0,544.0,178.0,267.0,120.0,159.0,3623.0,545.0,237.0,450.0
2019-0414,129.0,87.0,1865.0,291.0,91.0,141.0,101.0,92.0,1906.0,285.0,128.0,224.0
2019-0421,374.0,182.0,3826.0,612.0,166.0,241.0,303.0,163.0,4010.0,604.0,240.0,416.0
2019-0424,236.0,26.0,1153.0,191.0,29.0,38.0,206.0,29.0,1201.0,184.0,58.0,82.0
2019-0425,141.0,91.0,2829.0,450.0,126.0,191.0,125.0,130.0,3000.0,445.0,204.0,362.0
2019-0429,169.0,61.0,1787.0,287.0,82.0,118.0,156.0,65.0,1907.0,285.0,116.0,204.0
2019-0439,95.0,52.0,1664.0,257.0,96.0,143.0,58.0,72.0,1690.0,253.0,106.0,194.0
2019-0451,159.0,41.0,1909.0,311.0,73.0,108.0,139.0,65.0,2026.0,300.0,128.0,208.0
2019-0495,169.0,72.0,2289.0,370.0,92.0,129.0,139.0,87.0,2353.0,368.0,124.0,219.0
2019-0496,190.0,41.0,1671.0,267.0,66.0,84.0,166.0,57.0,1701.0,258.0,110.0,177.0
2019-0499,182.0,63.0,1620.0,264.0,65.0,88.0,173.0,66.0,1654.0,261.0,76.0,141.0
2019-0500,225.0,50.0,1991.0,331.0,73.0,94.0,172.0,77.0,2085.0,325.0,126.0,197.0
2019-0506,55.0,61.0,1680.0,262.0,73.0,131.0,53.0,62.0,1758.0,255.0,111.0,209.0
2019-0533,108.0,39.0,1282.0,213.0,43.0,63.0,92.0,49.0,1377.0,211.0,74.0,126.0
2019-0568,131.0,50.0,1634.0,265.0,67.0,94.0,115.0,94.0,1815.0,262.0,116.0,201.0
2019-0605,99.0,27.0,1115.0,177.0,36.0,46.0,108.0,25.0,1090.0,174.0,42.0,83.0
2019-0717,120.0,48.0,1621.0,261.0,80.0,109.0,109.0,78.0,1751.0,261.0,95.0,170.0
2019-0891,270.0,68.0,1877.0,283.0,87.0,113.0,148.0,80.0,1824.0,283.0,79.0,146.0
2019-5014,460.0,109.0,3604.0,596.0,119.0,164.0,312.0,131.0,3882.0,584.0,198.0,344.0
2019-520,783.0,358.0,11892.0,1909.0,533.0,787.0,585.0,389.0,12199.0,1858.0,720.0,1331.0
2019-540,1188.0,420.0,12570.0,2087.0,529.0,732.0,1021.0,511.0,13266.0,2037.0,777.0,1309.0
2019-560,1161.0,554.0,12138.0,1957.0,522.0,783.0,806.0,539.0,12488.0,1922.0,734.0,1282.0
2019-580,1419.0,351.0,11870.0,1942.0,414.0,598.0,1154.0,395.0,12395.0,1888.0,687.0,1172.0
2019-6116,219.0,81.0,1535.0,250.0,55.0,75.0,181.0,89.0,1548.0,243.0,59.0,110.0
2019-6242,330.0,153.0,2814.0,447.0,112.0,177.0,217.0,157.0,2944.0,439.0,164.0,301.0
2019-6932,102.0,85.0,1833.0,285.0,103.0,155.0,57.0,97.0,1905.0,277.0,142.0,244.0
2019-7290,76.0,56.0,1655.0,265.0,71.0,120.0,54.0,62.0,1745.0,261.0,113.0,210.0
2019-7434,177.0,72.0,1733.0,285.0,64.0,95.0,141.0,79.0,1882.0,281.0,125.0,199.0
2019-7480,87.0,65.0,1385.0,218.0,71.0,99.0,75.0,69.0,1404.0,212.0,89.0,175.0
