Tournament_ID,Tournament_Name,Surface
2020-6932,ATP Rio de Janeiro,Clay
2019-M004,Acapulco,Hard
2020-M004,Acapulco,Hard
2021-0807,Acapulco,Hard
2020-M056,Adelaide,Hard
2019-7650,Antalya,Grass
2021-9426,Antalya,Hard
2019-7485,Antwerp,Hard
2020-7485,Antwerp,Hard
2021-7485,Antwerp,Hard
2019-6116,Atlanta,Hard
2021-6116,Atlanta,Hard
2020-8888,Atp Cup,Hard
2021-8888,Atp Cup,Hard
2019-0301,Auckland,Hard
2020-0301,Auckland,Hard
2019-580,Australian Open,Hard
2020-580,Australian Open,Hard
2021-580,Australian Open,Hard
2019-0425,Barcelona,Clay
2021-0425,Barcelona,Clay
2019-0328,Basel,Hard
2019-0316,Bastad,Clay
2021-0316,Bastad,Clay
2019-M015,Beijing,Hard
2021-5053,Belgrade,Clay
2021-9512,Belgrade 2,Clay
2019-M020,Brisbane,Hard
2019-7648,Budapest,Clay
2019-0506,Buenos Aires,Clay
2020-0506,Buenos Aires,Clay
2021-0506,Buenos Aires,Clay
2021-9481,Cagliari,Clay
2019-0421,Canada Masters,Hard
2021-0421,Canada Masters,Hard
2019-7581,Chengdu,Hard
2019-M024,Cincinnati Masters,Hard
2020-M024,Cincinnati Masters,Hard
2021-0422,Cincinnati Masters,Hard
2020-9404,Cologne 1,Hard
2020-9406,Cologne 2,Hard
2019-9158,Cordoba,Clay
2020-9158,Cordoba,Clay
2021-9158,Cordoba,Clay
2019-M-DC-2019-FLS-M-CAN-ESP-01,Davis Cup Finals F: CAN vs ESP,Hard
2021-M-DC-2021-FLS-M-RTF-CRO-01,Davis Cup Finals F: RTF vs CRO,Hard
2019-M-DC-2019-FLS-M-ARG-ESP-01,Davis Cup Finals QF: ARG vs ESP,Hard
2019-M-DC-2019-FLS-M-AUS-CAN-01,Davis Cup Finals QF: AUS vs CAN,Hard
2019-M-DC-2019-FLS-M-GBR-GER-01,Davis Cup Finals QF: GBR vs GER,Hard
2021-M-DC-2021-FLS-M-GBR-GER-01,Davis Cup Finals QF: GBR vs GER,Hard
2021-M-DC-2021-FLS-M-ITA-CRO-01,Davis Cup Finals QF: ITA vs CRO,Hard
2021-M-DC-2021-FLS-M-RTF-SWE-01,Davis Cup Finals QF: RTF vs SWE,Hard
2021-M-DC-2021-FLS-M-SRB-KAZ-01,Davis Cup Finals QF: SRB vs KAZ,Hard
2019-M-DC-2019-FLS-M-SRB-RUS-01,Davis Cup Finals QF: SRB vs RUS,Hard
2019-M-DC-2019-FLS-C-M-ARG-CHI-01,Davis Cup Finals RR: ARG vs CHI,Hard
2019-M-DC-2019-FLS-C-M-ARG-GER-01,Davis Cup Finals RR: ARG vs GER,Hard
2019-M-DC-2019-FLS-D-M-AUS-COL-01,Davis Cup Finals RR: AUS vs COL,Hard
2021-M-DC-2021-FLS-D-M-AUS-HUN-01,Davis Cup Finals RR: AUS vs HUN,Hard
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,Davis Cup Finals RR: BEL vs AUS,Hard
2019-M-DC-2019-FLS-D-M-BEL-COL-01,Davis Cup Finals RR: BEL vs COL,Hard
2021-M-DC-2021-FLS-B-M-CAN-KAZ-01,Davis Cup Finals RR: CAN vs KAZ,Hard
2021-M-DC-2021-FLS-B-M-CAN-SWE-01,Davis Cup Finals RR: CAN vs SWE,Hard
2021-M-DC-2021-FLS-D-M-CRO-AUS-01,Davis Cup Finals RR: CRO vs AUS,Hard
2019-M-DC-2019-FLS-B-M-CRO-ESP-01,Davis Cup Finals RR: CRO vs ESP,Hard
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,Davis Cup Finals RR: CRO vs RUS,Hard
2021-M-DC-2021-FLS-A-M-ESP-ECU-01,Davis Cup Finals RR: ESP vs ECU,Hard
2021-M-DC-2021-FLS-A-M-ESP-RTF-01,Davis Cup Finals RR: ESP vs RTF,Hard
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,Davis Cup Finals RR: ESP vs RUS,Hard
2021-M-DC-2021-FLS-C-M-FRA-CZE-01,Davis Cup Finals RR: FRA vs CZE,Hard
2021-M-DC-2021-FLS-C-M-FRA-GBR-01,Davis Cup Finals RR: FRA vs GBR,Hard
2019-M-DC-2019-FLS-A-M-FRA-JPN-01,Davis Cup Finals RR: FRA vs JPN,Hard
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,Davis Cup Finals RR: FRA vs SRB,Hard
2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,Davis Cup Finals RR: GBR vs KAZ,Hard
2019-M-DC-2019-FLS-E-M-GBR-NED-01,Davis Cup Finals RR: GBR vs NED,Hard
2021-M-DC-2021-FLS-F-M-GER-AUT-01,Davis Cup Finals RR: GER vs AUT,Hard
2019-M-DC-2019-FLS-C-M-GER-CHI-01,Davis Cup Finals RR: GER vs CHI,Hard
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,Davis Cup Finals RR: ITA vs CAN,Hard
